simulation_index,simulation_directory,time_to_onc,T_before_onc,T_after_onc,detection_node
157,onc_0157,1356,1449,985.5,heated
158,onc_0158,3792,998,715,heated
159,onc_0159,3875,879.5,818.5,unheated
160,onc_0160,2232,1361,1330,unheated
161,onc_0161,2744,1259,845,heated
162,onc_0162,3324,893,825,unheated
163,onc_0163,2864,977.5,876,heated
164,onc_0164,1527,1316,853,heated
165,onc_0165,1541,1215,797.5,heated
166,onc_0166,2299,1027,872,heated
167,onc_0167,2063,1285,906,heated
168,onc_0168,2187,997.5,686.5,heated
169,onc_0169,1973,1337,967.5,heated
170,onc_0170,1919,1147,770.5,heated
171,onc_0171,2256,1443,1183,heated
172,onc_0172,2285,985,787.5,heated
173,onc_0173,3016,1151,810,heated
174,onc_0174,1928,1284,973,heated
175,onc_0175,2216,978.5,697.5,heated
176,onc_0176,2378,977,823.5,heated
177,onc_0177,1902,1239,806,heated
178,onc_0178,3283,897,787.5,heated
179,onc_0179,1926,1490,946.5,heated
180,onc_0180,1708,1178,798.5,heated
181,onc_0181,1440,1479,1361,heated
182,onc_0182,1880,1463,981.5,heated
183,onc_0183,2039,1304,878,heated
184,onc_0184,1477,1498,1454,unheated
185,onc_0185,1356,1422,1039,heated
186,onc_0186,1607,1384,1232,heated
187,onc_0187,1779,1116,803.5,heated
188,onc_0188,2623,1260,899,heated
189,onc_0189,3205,1111,814.5,heated
190,onc_0190,1484,1470,1464,unheated
191,onc_0191,2802,910,606.5,heated
192,onc_0192,2404,1375,956.5,heated
193,onc_0193,2268,986,679.5,heated
194,onc_0194,1278,1475,1046,heated
195,onc_0195,1934,1385,893,heated
196,onc_0196,3335,1094,874,heated
197,onc_0197,1762,1263,905,heated
198,onc_0198,2964,887,625,heated
199,onc_0199,1450,1491,1308,heated
200,onc_0200,3601,953,854.5,unheated
201,onc_0201,3645,992.5,756,heated
202,onc_0202,3822,1019,720,heated
203,onc_0203,1796,1494,1005.5,heated
204,onc_0204,2226,982,672.5,heated
205,onc_0205,1374,1289,846.5,heated
206,onc_0206,1936,1210,792,heated
207,onc_0207,1489,1362,905,heated
208,onc_0208,1321,1219,933,heated
209,onc_0209,1892,1493,968.5,heated
210,onc_0210,1814,1416,927.5,heated
211,onc_0211,2432,1089,706.5,heated
212,onc_0212,2317,1252,827,heated
213,onc_0213,3166,888.5,770.5,heated
214,onc_0214,2835,1148,1031,heated
215,onc_0215,1518,1361,971.5,heated
216,onc_0216,2803,961.5,845.5,heated
217,onc_0217,1420,1382,940,heated
218,onc_0218,1922,1154,953.5,heated
219,onc_0219,1727,1133,805.5,heated
220,onc_0220,4435,880,705,heated
221,onc_0221,3058,1157,759,heated
222,onc_0222,2045,1108,814,heated
223,onc_0223,1631,1303,938,heated
224,onc_0224,1606,1285,831.5,heated
225,onc_0225,1953,1193,805.5,heated
226,onc_0226,1299,1471,975,heated
227,onc_0227,2897,981.5,886,unheated
228,onc_0228,1913,1057,708.5,heated
229,onc_0229,2221,1275,889,heated
230,onc_0230,1841,1237,823.5,heated
231,onc_0231,2009,1105,801.5,heated
232,onc_0232,1918,1427,965,heated
233,onc_0233,2370,1345,960.5,heated
234,onc_0234,2007,1489,950,heated
235,onc_0235,1695,1189,779.5,heated
236,onc_0236,1807,1304,844.5,heated
237,onc_0237,2170,1327,845.5,heated
238,onc_0238,2097,1258,1048,heated
239,onc_0239,1801,1339,1105,heated
240,onc_0240,1553,1496,1112,heated
241,onc_0241,1975,1308,1307,unheated
242,onc_0242,1887,1275,1208,unheated
243,onc_0243,3372,1041,692.5,heated
244,onc_0244,1496,1366,957,heated
245,onc_0245,2202,1247,831.5,heated
246,onc_0246,4063,946.5,699,heated
247,onc_0247,3001,1082,1069,unheated
248,onc_0248,1793,1035,753.5,heated
249,onc_0249,2945,956,881.5,unheated
250,onc_0250,1609,1254,1094,heated
251,onc_0251,3540,1036,823,heated
252,onc_0252,4436,913.5,661.5,heated
253,onc_0253,2126,1090,713,heated
254,onc_0254,2306,1135,892.5,heated
255,onc_0255,1826,1163,749.5,heated
256,onc_0256,2002,1405,970,heated
257,onc_0257,2738,1213,1124,unheated
258,onc_0258,2017,1162,847,heated
259,onc_0259,2897,905,620.5,heated
260,onc_0260,3834,1000.5,664,heated
261,onc_0261,3956,889.5,835.5,unheated
262,onc_0262,2354,1387,1023.5,heated
263,onc_0263,2796,1234,841,heated
264,onc_0264,1627,1369,1044,heated
265,onc_0265,2274,988,656,heated
266,onc_0266,2358,1375,968,heated
267,onc_0267,1339,1424,1030,heated
268,onc_0268,2655,922,636,heated
269,onc_0269,1977,1167,768.5,heated
270,onc_0270,2090,1318,859.5,heated
271,onc_0271,1645,1280,872,heated
272,onc_0272,2603,1296,982.5,heated
273,onc_0273,1932,1047,721.5,heated
274,onc_0274,2263,1281,823.5,heated
275,onc_0275,2549,1292,893,heated
276,onc_0276,1542,1484,1339,heated
277,onc_0277,1934,1055,692.5,heated
278,onc_0278,1544,1391,1085,heated
279,onc_0279,4447,880,644,heated
280,onc_0280,1369,1437,934,heated
281,onc_0281,1603,1370,1346,unheated
282,onc_0282,1927,1247,1112,heated
283,onc_0283,1954,1196,865,heated
284,onc_0284,1488,1252,852,heated
285,onc_0285,3160,1178,802,heated
286,onc_0286,3544,1032,771,heated
287,onc_0287,2374,1174,969.5,heated
288,onc_0288,2742,1009.5,985.5,unheated
289,onc_0289,2202,1455,1067,heated
290,onc_0290,1689,1181,796.5,heated
291,onc_0291,1735,1440,958.5,heated
292,onc_0292,2501,1271,1225,unheated
293,onc_0293,2019,1158,859,heated
294,onc_0294,1949,1462,982,heated
295,onc_0295,1686,1256,817,heated
296,onc_0296,2996,879.5,652,heated
297,onc_0297,1964,1087,731,heated
298,onc_0298,2119,1064,710,heated
299,onc_0299,1882,1072,746.5,heated
300,onc_0300,1958,1142,985.5,heated
301,onc_0301,3012,1086,1015.5,unheated
302,onc_0302,1266,1491,1069,heated
303,onc_0303,2869,1113,1085,unheated
304,onc_0304,1926,1054,691.5,heated
305,onc_0305,1386,1488,1158,heated
306,onc_0306,1613,1219,849,heated
307,onc_0307,2704,908.5,690,heated
308,onc_0308,1768,1150,788.5,heated
309,onc_0309,2577,1261,1036,heated
310,onc_0310,1337,1442,957.5,heated
311,onc_0311,1956,1045,690.5,heated
312,onc_0312,1864,1241,917.5,heated
313,onc_0313,2238,1234,804.5,heated
314,onc_0314,2889,998,890,heated
315,onc_0315,2037,1153,812.5,heated
316,onc_0316,1664,1306,1141,heated
317,onc_0317,2949,878,585.5,heated
318,onc_0318,1739,1336,1161,heated
319,onc_0319,4342,928,670.5,heated
320,onc_0320,2097,1378,880.5,heated
321,onc_0321,1402,1370,910.5,heated
322,onc_0322,1271,1375,881,heated
323,onc_0323,2120,1485,1015,heated
324,onc_0324,2791,1239,844.5,heated
325,onc_0325,2936,1218,853,heated
326,onc_0326,2465,1267,1216,unheated
327,onc_0327,1837,1315,1251,unheated
328,onc_0328,1579,1098,858,heated
329,onc_0329,2506,1109,717.5,heated
330,onc_0330,4105,875,739,heated
331,onc_0331,3249,1059,950,heated
332,onc_0332,2950,1143,820,heated
333,onc_0333,1430,1387,899,heated
334,onc_0334,2681,1253,964.5,heated
335,onc_0335,2557,1319,1087,heated
336,onc_0336,2030,1040,690,heated
337,onc_0337,3024,1181,863,heated
338,onc_0338,1736,1297,990,heated
339,onc_0339,2001,1354,884.5,heated
340,onc_0340,3356,1090,809,heated
341,onc_0341,1332,1435,943.5,heated
342,onc_0342,2014,1027,736,heated
343,onc_0343,1843,1493,1039,heated
344,onc_0344,1629,1262,831.5,heated
345,onc_0345,1874,1035,779.5,heated
346,onc_0346,3238,964.5,964,unheated
347,onc_0347,3005,1186,801,heated
348,onc_0348,3012,900,762,heated
349,onc_0349,1441,1407,1128,heated
350,onc_0350,2115,1229,968,heated
351,onc_0351,1854,1368,880,heated
352,onc_0352,1635,1171,786,heated
353,onc_0353,2505,1185,1182,unheated
354,onc_0354,1841,1074,709.5,heated
355,onc_0355,3918,946.5,735,heated
356,onc_0356,3074,1118,746.5,heated
357,onc_0357,2689,1226,913,heated
358,onc_0358,3143,1010.5,984,unheated
359,onc_0359,2953,1146,794,heated
360,onc_0360,1425,1431,1039,heated
361,onc_0361,2176,1080,712,heated
362,onc_0362,1468,1380,896.5,heated
363,onc_0363,2096,1210,939,heated
364,onc_0364,2731,1200,1150,unheated
365,onc_0365,2071,1329,849,heated
366,onc_0366,2143,1076,727,heated
367,onc_0367,1915,1344,986,heated
368,onc_0368,1512,1361,935.5,heated
369,onc_0369,1806,1347,1223,heated
370,onc_0370,1671,1320,942,heated
371,onc_0371,2489,994.5,749.5,heated
372,onc_0372,2174,1465,1034,heated
373,onc_0373,1977,1398,1393,unheated
374,onc_0374,2323,1214,779,heated
375,onc_0375,1903,1218,892,heated
376,onc_0376,1596,1293,848.5,heated
377,onc_0377,1737,1294,1247,unheated
378,onc_0378,1629,1331,971,heated
379,onc_0379,4467,908,681.5,heated
380,onc_0380,1805,1342,1219,heated
381,onc_0381,2371,985,644,heated
382,onc_0382,1947,1121,879.5,heated
383,onc_0383,2012,1250,1167,unheated
384,onc_0384,1962,1278,1002.5,heated
385,onc_0385,1856,1068,834.5,heated
386,onc_0386,2004,1333,861,heated
387,onc_0387,2707,1237,979,heated
388,onc_0388,2073,1484,1353,heated
389,onc_0389,1800,1034,752.5,heated
390,onc_0390,1808,1319,1212,heated
391,onc_0391,1763,1042,826,heated
392,onc_0392,1306,1468,951.5,heated
393,onc_0393,1980,1337,888,heated
394,onc_0394,1737,1041,775,heated
395,onc_0395,1702,1314,950,heated
396,onc_0396,2310,1150,1141,unheated
397,onc_0397,1571,1351,984,heated
398,onc_0398,1393,1288,834.5,heated
399,onc_0399,2773,1195,834,heated
400,onc_0400,2089,1469,1116,heated
401,onc_0401,1580,1219,858,heated
402,onc_0402,1964,1147,789,heated
403,onc_0403,3164,976,976,unheated
404,onc_0404,2255,976,648.5,heated
405,onc_0405,3314,1026,975.5,unheated
