simulation_index,simulation_directory,time_to_onc,T_before_onc,T_after_onc,detection_node
311,onc_0311,2562,1045,851,heated
312,onc_0312,1953,1241,1037,heated
313,onc_0313,2200,1234,990,heated
314,onc_0314,3443,998,911,unheated
315,onc_0315,2203,1153,949,heated
316,onc_0316,2033,1306,1177,heated
317,onc_0317,3745,878,723,heated
318,onc_0318,1796,1336,1199,heated
319,onc_0319,3313,928,775,heated
320,onc_0320,1789,1378,1096,heated
321,onc_0321,1834,1370,1109,heated
322,onc_0322,1836,1375,1094,heated
323,onc_0323,1809,1485,1202,heated
324,onc_0324,2034,1239,1006.5,heated
325,onc_0325,2429,1218,999.5,heated
326,onc_0326,2024,1267,1212,unheated
327,onc_0327,1849,1315,1250,unheated
328,onc_0328,2469,1098,939.5,heated
329,onc_0329,2607,1109,896,heated
330,onc_0330,3925,875.5,778.5,unheated
331,onc_0331,2799,1059,969.5,unheated
332,onc_0332,2778,1143,946.5,heated
333,onc_0333,1796,1387,1107,heated
334,onc_0334,2343,1253,1063,heated
335,onc_0335,1754,1319,1153,heated
336,onc_0336,2598,1040,848,heated
337,onc_0337,2146,1181,983.5,heated
338,onc_0338,1849,1297,1096,heated
339,onc_0339,1897,1354,1084,heated
340,onc_0340,2658,1091,915,heated
341,onc_0341,1736,1435,1148,heated
342,onc_0342,3215,1027,852,heated
343,onc_0343,1576,1493,1216,heated
344,onc_0344,2131,1262,1015,heated
345,onc_0345,2598,1035,874.5,heated
346,onc_0346,3370,965,961.5,unheated
347,onc_0347,2141,1186,961.5,heated
348,onc_0348,3404,900,800,heated
349,onc_0349,1783,1407,1212,heated
350,onc_0350,2296,1229,1052,heated
351,onc_0351,2353,1368,1090,heated
352,onc_0352,2182,1171,952,heated
353,onc_0353,2390,1185,1179,unheated
354,onc_0354,2490,1074,873.5,heated
355,onc_0355,3543,947,811.5,heated
356,onc_0356,2760,1118,910,heated
357,onc_0357,2348,1226,1027,heated
358,onc_0358,3489,1011,978,unheated
359,onc_0359,2679,1146,937.5,heated
360,onc_0360,1644,1431,1184,heated
